,CustomerName,Recency,Frequency,Monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
2399,CS3511,122,20,1390,86.16,63.59,63.59,3.35,Medium Value Customer
2400,CS3512,122,16,1215,86.16,34.8,34.8,2.13,Low Value Customers
2401,CS3513,443,15,1154,10.84,28.31,28.31,1.28,Lost Customers
2402,CS3514,32,20,1532,94.33,63.59,63.59,3.41,Medium Value Customer
2403,CS3515,306,25,1679,50.43,90.27,90.27,4.21,High value Customer
2404,CS3516,280,14,941,63.11,22.55,22.55,1.43,Lost Customers
2405,CS3517,153,24,1654,83.11,86.57,86.57,4.3,High value Customer
2406,CS3518,153,25,1560,83.11,90.27,90.27,4.46,High value Customer
2407,CS3519,276,22,1668,66.37,76.89,76.89,3.77,Medium Value Customer
2408,CS3520,276,24,1678,66.37,86.57,86.57,4.18,High value Customer
2409,CS3521,368,21,1506,26.79,70.65,70.65,3.2,Medium Value Customer
2410,CS3522,447,11,742,10.46,8.74,8.74,0.45,Lost Customers
2411,CS3523,122,17,1089,86.16,41.88,41.88,2.43,Low Value Customers
2412,CS3524,276,22,1475,66.37,76.89,76.89,3.77,Medium Value Customer
2413,CS3525,319,17,1269,42.71,41.88,41.88,2.1,Low Value Customers
2414,CS3526,2,24,1583,97.69,86.57,86.57,4.41,High value Customer
2415,CS3527,335,17,1031,39.69,41.88,41.88,2.08,Low Value Customers
2416,CS3528,397,21,1407,18.78,70.65,70.65,3.14,Medium Value Customer
2417,CS3529,366,21,1465,27.52,70.65,70.65,3.21,Medium Value Customer
2418,CS3530,373,30,2186,25.02,98.88,98.88,4.39,High value Customer
2419,CS3531,62,22,1611,91.86,76.89,76.89,3.96,Medium Value Customer
